"nazwa_zasobu","Miejscowosc","lat","lon","icon","color","type"
"Muzeum/Dworek Henryka Sienkiewicza w Oblęgorku","Oblęgorek"," 50.957413700000004"," 20.47583330939974","institution","darkpurple","obiekt_historyczny"
"Stajnia Pod Inflancką Kobyłą w Oblęgorku","Oblęgorek","50.957354","20.47794715","universal-access","red","atrakcja"
"Park Linowy ""Sienkiewiczówka"" w Oblęgorku","Oblęgorek","50.95737405","20.47494715","tree","red","atrakcja"
"Dorota Łukasik - Sklep spożywczy","Szczukowice","50.886399808489","20.515479728085","shopping-basket","beige","sklep"
"Kapliczka przydrożna Jana Nepomucena, Brynica","Brynica","50.899409363509","20.510988550765","bullseye","blue","obiekt_religijny"
"Kapliczka św. Leokadii","Brynica","50.903339677312","20.507458188675","bullseye","blue","obiekt_religijny"
"Gospodarstwo pasieczne ""Bobrza""","Chełmce","50.916388737796"," 20.510092159660836","shopping-basket","beige","sklep"
"Młyn wodny na rzece Bobrza","Chełmce","50.936938555852"," 20.511116882162504","institution","darkpurple","obiekt_historyczny"
"Kapliczka św. Rozalii","Oblęgorek","50.951216671046"," 20.478157389987192","bullseye","blue","obiekt_religijny"
"""As"" Sklep spożywczy","Porzecze","50.948265349974"," 20.51336705307004","shopping-basket","beige","sklep"
"Miejsce Obsługi Rowerzysty Oblęgorek","Oblęgorek","50.952185500378"," 20.47656791213403","bicycle","gray","obiekt_turystyczny"
"Bar ""Piątka""Oblęgorek","Oblęgorek","50.952209053855"," 20.474915347496374","cutlery","orange","gastronomia"
"Kuźnia Moćków - muzeum kowalstwa artystycznego","Oblęgorek","50.952298556959"," 20.47445173207766","institution","darkpurple","obiekt_historyczny"
"Sklep spożywczo przemysłowy","Chełmce","50.936013344676"," 20.49173071792304","shopping-basket","beige","sklep"
"Góra Zachętna 324m n.p.m","Chełmce","50.934548302436"," 20.487400900809035","leaf","green","obiekt_przyrodniczy"
"Dwór obronny z XVI w.","Chełmce","50.931508410707"," 20.49224469058644","institution","darkpurple","obiekt_historyczny"
"Kościół rzymskokatolicki św. Marii-Magdaleny i św. Mikołaja","Chełmce","50.928065892329"," 20.493006472506508","bullseye","blue","obiekt_religijny"
"Sklep ""ABC""","Brynica","50.90568566822"," 20.49725298515993","shopping-basket","beige","sklep"
"Pałac Tarłów","Podzamcze ","50.892528737783"," 20.48948785287864","institution","darkpurple","obiekt_historyczny"
"Miejsce Obsługi Rowerzysty Podzamcze","Podzamcze ","50.888965329499"," 20.486880821146737","bicycle","gray","obiekt_turystyczny"
"Kościół św. Faustyny Kowalskiej","Szczukowice","50.88487756948"," 20.50917356767297","bullseye","blue","obiekt_religijny"
"Sklep Dino","Oblęgorek","50.883432202504"," 20.51317200317118","shopping-basket","beige","sklep"
"Ścieżka edukacyjna","Oblęgorek","50.954272758309"," 20.47265239185254","long-arrow-up","red","atrakcja"
"Do modrzewi","Oblęgorek","50.956201667607"," 20.47288205038467","bed","cadetblue","obiekt_noclegowy"
"Widok na Kościoł w chełmcach","Chełmce","50.931040121471"," 20.49127560192951","binoculars","green","punkt_widokowy"
"Widok na pasmo Kadzielniańskie","Brynica","50.900102017661"," 20.482484217820076","binoculars","green","punkt_widokowy"
"Rezerwat Przyrody Barania Góra","Oblęgorek","50.962571003921"," 20.474098199405525","leaf","green","obiekt_przyrodniczy"
"Pizzeria Ola La","Oblęgorek","50.958704429097"," 20.493086596321593","cutlery","orange","gastronomia"
